PalmID,#SampleID,Sample_Name,ESPECIE,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,HABITAT,Region,FirstBM,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,SecondBM,ThirdBM,FourthBM,FifthBM,TotalBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,Consensus_R1R2_Results,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,Location...2,Town,Sampling Dates,Stipe Height (m),Total Height (m),DOM,Lianas,Epiphytes,Surrounding Canopy Cover,# Connected Trees,Fruiting,Fruiting Sex,Photo?,Habitat_Microhabitat,Method,Location...17
CHOR1P3,E11.P2,160,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E12.P2,161,R. pallescens,N4,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Yes,Yes,No,No,Three,Mus,Human,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F1.P2,162,R. pallescens,N4,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F2.P2,163,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,F3.P2,164,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E2.P2,150,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,Two,Other,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E3.P2,151,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Yes,Yes,No,No,Three,Human,Mus,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,Yes,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E4.P2,152,R. pallescens,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,Two,Mus,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E5.P2,153,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,Two,Other,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E6.P2,154,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,Yes,Yes,No,No,Two,Human,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E7.P2,155,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,Two,Procyon,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,D10.P2,146,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E9.P2,158,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Negative,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E10.P2,159,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,D9.P2,145,R. pallescens,N4,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,D11.P2,147,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,D12.P2,148,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P3,E1.P2,149,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 50.760 W 079 56.269,La Chorrera,24-27 June  2017,3.668,4.26,3,NA,NA,20%,2,y,M,yes,Pasture,Noireau,La Chorrera
CHOR1P4,C8.P2,132,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Philander,Mix,No,Yes,Yes,No,Two,Thraupis,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 50.755 W 079 56.261,La Chorrera,24-27 June  2017,2.606,3.21,2,2,4,0,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P5,G11.P2,185,R. pallescens,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Other,Mix,No,Yes,Yes,No,Four,Mus,Philander,Thraupis,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.721 W 079 56.276,La Chorrera,24-27 June  2017,4.636,4.8,2,0,>10,0,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P5,G10.P2,184,R. pallescens,Adult,N4_Adult,N3_Adult,Female,La Chorrera,Pasture,La Chorrera,Thraupis,Bird,No,No,Yes,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.721 W 079 56.276,La Chorrera,24-27 June  2017,4.636,4.8,2,0,>10,0,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P6,C10.P2,134,R. pallescens,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Thraupis,Bird,No,No,Yes,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.712 W 079 56.284,La Chorrera,24-27 June  2017,3.236,3.8,1,2,0,3%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P6,C11.P2,135,R. pallescens,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Philander,Mix,No,Yes,Yes,No,Two,Thraupis,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.712 W 079 56.284,La Chorrera,24-27 June  2017,3.236,3.8,1,2,0,3%,0,N,NA,yes,Pasture,Noireau,La Chorrera
CHOR1P6,C9.P2,133,R. pallescens,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Thraupis,Bird,No,No,Yes,No,One,NA,NA,NA,NA,NA,Negative,Negative,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Negative,N 08 50.712 W 079 56.284,La Chorrera,24-27 June  2017,3.236,3.8,1,2,0,3%,0,N,NA,yes,Pasture,Noireau,La Chorrera
SF1,H6.P2,192,T. dimidiata,Adult,N4_Adult,N3_Adult,Male,Veraguas,Peridomestic,Veraguas,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
SF1,H7.P2,193,T. dimidiata,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Peridomestic,Veraguas,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
SF1,H8.P2,194,T. dimidiata,N4,N4_Adult,N3_Adult,NA,Veraguas,Peridomestic,Veraguas,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Positive,No,Tcruzi,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
SF1,H9.P2,195,T. dimidiata,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Peridomestic,Veraguas,Philander,Mammal,No,Yes,No,No,One,NA,NA,NA,NA,NA,Positive,Positive,Positive,NA,NA,NA,NA,NA,Single,Positive,Yes,Coinfection,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
SF1,H10.P2,200,R. pallescens,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Peridomestic,Veraguas,Thraupis,Mix,Yes,Yes,Yes,No,Two,Philander,NA,NA,NA,NA,Positive,Positive,Positive,NA,NA,NA,NA,NA,Single,Negative,Yes,Coinfection,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
SF1,H11.P2,201,R. pallescens,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Peridomestic,Veraguas,Philander,Mammal,No,Yes,No,No,Two,Procyon,NA,NA,NA,NA,Positive,Positive,Positive,NA,NA,NA,NA,NA,Negative,Positive,Yes,Coinfection,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
SF1,H12.P2,202,R. pallescens,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Peridomestic,Veraguas,Philander,Mammal,Yes,Yes,No,No,Three,Human,Mus,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,Negative,Negative,No,Tcruzi,N 08 31.387 W 081 04.378,Santa Fe,8-Jul-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peridomestic cerca Forest,Felled,Santa Fe
SF10,C2.P3,259,R. pallescens,Adult,N4_Adult,N3_Adult,Male,Veraguas,Forest,Veraguas,Heteromys,Mammal,Yes,Yes,No,No,Three,Human,Thraupis,NA,NA,NA,Positive,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tcruzi,N 08 30.938 W 081 02.756,Santa Fe,10-Jul-17,5.731,9.804,NA,NA,NA,NA,NA,NA,NA,NA,Forest cerca Peridomestic,Felled,Culaco
SF10,C3.P3,260,R. pallescens,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Forest,Veraguas,Didelphis,Mammal,No,Yes,No,No,Two,Heteromys,NA,NA,NA,NA,Positive,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tcruzi,N 08 30.938 W 081 02.756,Santa Fe,10-Jul-17,5.731,9.804,NA,NA,NA,NA,NA,NA,NA,NA,Forest cerca Peridomestic,Felled,Culaco
SF10,C4.P3,261,R. pallescens,Adult,N4_Adult,N3_Adult,Female,Veraguas,Forest,Veraguas,Heteromys,Mix,No,Yes,Yes,No,Three,Didelphis,Thraupis,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,NA,Positive,No,Tcruzi,N 08 30.938 W 081 02.756,Santa Fe,10-Jul-17,5.731,9.804,NA,NA,NA,NA,NA,NA,NA,NA,Forest cerca Peridomestic,Felled,Culaco
SF10,C5.P3,262,R. pallescens,N5,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Didelphis,Mammal,No,Yes,No,No,Two,Heteromys,NA,NA,NA,NA,Positive,Positive,Positive,NA,NA,NA,NA,NA,NA,Positive,Yes,Coinfection,N 08 30.938 W 081 02.756,Santa Fe,10-Jul-17,5.731,9.804,NA,NA,NA,NA,NA,NA,NA,NA,Forest cerca Peridomestic,Felled,Culaco
SF10,C6.P3,263,R. pallescens,N5,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Heteromys,Mammal,Yes,Yes,No,No,Three,Human,Didelphis,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,NA,Positive,No,Tcruzi,N 08 30.938 W 081 02.756,Santa Fe,10-Jul-17,5.731,9.804,NA,NA,NA,NA,NA,NA,NA,NA,Forest cerca Peridomestic,Felled,Culaco
SF10,C7.P3,264,R. pallescens,N5,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Heteromys,Mammal,Yes,Yes,No,No,Three,Human,Didelphis,NA,NA,NA,Positive,Positive,Negative,NA,NA,NA,NA,NA,NA,Positive,No,Tcruzi,N 08 30.938 W 081 02.756,Santa Fe,10-Jul-17,5.731,9.804,NA,NA,NA,NA,NA,NA,NA,NA,Forest cerca Peridomestic,Felled,Culaco
