#SampleID	Sample_Name	PalmID	ESPECIE	ESTADIO	SEXO	PROCEDENCIA	HABITAT	Canal-Veraguas	TypeBM	HumanBM	NumberBM	1stBM	2ndBM	3rdBM	4thBM	5thBM	SingleInf_Tcruzi	PCR_RESULTS_121_122	PCR_RESULTS_duplex_Trangeli	Coinfection	PCR_RESULTS_duplex_Tcruzi	SingleInf_Trangeli	Infection_Type
D2.P4	Lab25	Lab25	R. pallescens	N3	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D3.P4	Lab26	Lab26	R. pallescens	N3	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D4.P4	Lab28	Lab28	R. pallescens	N2	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D5.P4	Lab29	Lab29	R. pallescens	N2	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D6.P4	Lab30	Lab30	R. pallescens	N2	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D7.P4	Lab31	Lab31	R. pallescens	N2	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D8.P4	Lab32	Lab32	R. pallescens	N2	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D9.P4	Lab36	Lab36	R. pallescens	N1	NA	Univ. de Panama	Lab	NA	Mammal	Yes	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	NA	NA	NA	NA	NA
D10.P4	Lab37	Lab37	R. pallescens	N1	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D11.P4	Lab40	Lab40	R. pallescens	N1	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D12.P4	Lab41	Lab41	R. pallescens	N1	NA	Univ. de Panama	Lab	NA	Mammal	Yes	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	Mammalia;Primate;Hominidae;Homo;sapiens	Mammalia;Rodentia;Heteromyidae;Heteromys;australis	NA	NA	NA	NA	NA	NA	NA	NA	NA
E1.P4	Lab42	Lab42	R. pallescens	N1	NA	Univ. de Panama	Lab	NA	Mammal	No	NA	Mammalia;Didelphimorpha;Didelphidae;Didelphis;marsupialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
