Sample_Name	HABITAT	Region	AllBM_Family	AllBM_Order	AllBM_Genus	Type
194	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
195	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
200	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
201	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
202	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
293	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
398	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Philander	Mammal
2	Pasture	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
3	Pasture	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
4	Pasture	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
8	Pasture	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
14	Pasture	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
26	Pasture	Capira	Cardinalidae	Passeriformes	Piranga	Bird
64	Pasture	Capira	Cardinalidae	Passeriformes	Piranga	Bird
76	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
84	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
89	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
90	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
91	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
92	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
93	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
95	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
96	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
100	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
101	Peridomestic	La Chorrera	Cardinalidae	Passeriformes	Piranga	Bird
220	Pasture	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
268	Forest	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
304	Peridomestic	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
345	Pasture	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
346	Pasture	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
347	Pasture	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
356	Pasture	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
371	Pasture	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
372	Pasture	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
408	Forest	Veraguas	Cardinalidae	Passeriformes	Piranga	Bird
6	Pasture	La Chorrera	Procyonidae	Carnivora	Potos	Mammal
61	Pasture	Capira	Procyonidae	Carnivora	Potos	Mammal
65	Pasture	Capira	Procyonidae	Carnivora	Potos	Mammal
103	Peridomestic	La Chorrera	Procyonidae	Carnivora	Procyon	Mammal
155	Pasture	La Chorrera	Procyonidae	Carnivora	Procyon	Mammal
201	Peridomestic	Veraguas	Procyonidae	Carnivora	Procyon	Mammal
143	Peridomestic	Capira	Myrmecophagidae	Pilosa	Tamandua	Mammal
8	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
9	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
49	Pasture	Capira	Thraupidae	Passeriformes	Thraupis	Bird
125	Peridomestic	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
126	Peridomestic	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
127	Peridomestic	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
129	Peridomestic	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
130	Peridomestic	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
131	Peridomestic	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
132	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
133	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
134	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
135	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
174	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
175	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
181	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
182	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
184	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
185	Pasture	La Chorrera	Thraupidae	Passeriformes	Thraupis	Bird
200	Peridomestic	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
225	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
235	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
259	Forest	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
261	Forest	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
268	Forest	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
356	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
359	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
361	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
368	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
370	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
377	Pasture	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
393	Peridomestic	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
395	Peridomestic	Veraguas	Thraupidae	Passeriformes	Thraupis	Bird
113	Peridomestic	La Chorrera	Turdidae	Passeriformes	Turdus	Bird
119	Peridomestic	La Chorrera	Turdidae	Passeriformes	Turdus	Bird
122	Peridomestic	La Chorrera	Turdidae	Passeriformes	Turdus	Bird
