#SampleID	PalmID	ESPECIE	ESTADIO	PROCEDENCIA	HABITAT	Region	TypeBM	HumanBM	NumberBM	SingleInf_Tcruzi	Coinfection
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
E5.P3	SF6	R. pallescens	N3	Veraguas	Pasture	Veraguas	Mammal_Bird	Yes	Three	Negative	No
E6.P3	SF6	R. pallescens	N3	Veraguas	Pasture	Veraguas	Mammal_Bird	No	Two	Negative	No
E7.P3	SF7	R. pallescens	Adult	Veraguas	Pasture	Veraguas	Mammal_Bird	No	Three	Single	No
E8.P3	SF7	R. pallescens	N5	Veraguas	Pasture	Veraguas	Mammal	Yes	Three	Single	yes
E9.P3	SF7	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Two	Negative	No
E10.P3	SF7	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal_Bird	Yes	Four	Negative	No
E11.P3	SF8	R. pallescens	Adult	Veraguas	Pasture	Veraguas	Mammal_Bird	Yes	Four	Single	No
E12.P3	SF8	R. pallescens	Adult	Veraguas	Pasture	Veraguas	Mammal	Yes	Two	Single	No
F1.P3	SF8	R. pallescens	Adult	Veraguas	Pasture	Veraguas	Mammal_Bird	Yes	Four	Single	No
F2.P3	SF8	R. pallescens	Adult	Veraguas	Pasture	Veraguas	Mammal	No	Two	Single	No
F3.P3	SF8	R. pallescens	N2	Veraguas	Pasture	Veraguas	Mammal_Bird	Yes	Four	Single	No
F4.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Three	Negative	No
F5.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal_Bird	No	Three	Negative	No
F6.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal_Bird	No	Two	Negative	No
F7.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal_Reptile	Yes	Three	Negative	No
F8.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Two	Positive	No
F9.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Two	Negative	No
F10.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal_Bird	Yes	Three	Negative	No
F11.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Two	Single	No
F12.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Two	Negative	No
G1.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Three	Negative	NA
G2.P3	SF8	R. pallescens	N1	Veraguas	Pasture	Veraguas	Mammal	Yes	Two	Negative	NA
G3.P3	SF11	R. pallescens	Adult	Veraguas	Peridomestic	Veraguas	Mammal	No	Two	Negative	NA
G4.P3	SF11	R. pallescens	Adult	Veraguas	Peridomestic	Veraguas	Mammal	No	Two	Single	NA
G5.P3	SF11	R. pallescens	Adult	Veraguas	Peridomestic	Veraguas	Mammal	No	Two	Single	No
G6.P3	SF11	R. pallescens	Adult	Veraguas	Peridomestic	Veraguas	Mammal	No	Two	Single	No
G7.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	No	Three	Single	No
G8.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	Yes	Three	Negative	No
G9.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal_Bird	No	Three	Negative	No
G10.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal_Bird	No	Three	Negative	No
G11.P3	SF11	R. pallescens	Adult	Veraguas	Peridomestic	Veraguas	Mammal	Yes	Three	Negative	No
G12.P3	SF11	R. pallescens	Adult	Veraguas	Peridomestic	Veraguas	Mammal	No	One	Single	No
H1.P3	SF11	R. pallescens	Adult	Veraguas	Peridomestic	Veraguas	Mammal	No	Two	Single	yes
H2.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	Yes	Four	Negative	No
H3.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	Yes	Four	Negative	No
H4.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	No	Three	Negative	No
H5.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	Yes	Three	Negative	No
H6.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	Yes	Four	Negative	No
H7.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	No	Three	Negative	No
H8.P3	SF11	R. pallescens	N1	Veraguas	Peridomestic	Veraguas	Mammal	No	Three	Negative	No
H9.P3	SF14	R. pallescens	Adult	Veraguas	Forest	Veraguas	Mammal	No	Two	Negative	No
H10.P3	SF15	T. dimidiata	Adult	Veraguas	Forest	Veraguas	Mammal_Bird	No	Three	Negative	No
H11.P3	SF15	T. dimidiata	Adult	Veraguas	Forest	Veraguas	Mammal	Yes	Four	Single	No
H12.P3	SF15	T. dimidiata	N3	Veraguas	Forest	Veraguas	Mammal	No	Two	Single	No
A1.P4	SF15	T. dimidiata	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Four	Single	No
A2.P4	SF15	R. pallescens	Adult	Veraguas	Forest	Veraguas	Mammal	Yes	Five	Single	No
A3.P4	SF15	R. pallescens	Adult	Veraguas	Forest	Veraguas	Mammal	Yes	Three	Negative	No
A4.P4	SF15	R. pallescens	Adult	Veraguas	Forest	Veraguas	Mammal	No	Three	Single	yes
A5.P4	SF15	R. pallescens	N4	Veraguas	Forest	Veraguas	Mammal	Yes	Three	Single	yes
A6.P4	SF15	R. pallescens	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Three	Negative	yes
A7.P4	SF15	R. pallescens	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Two	Negative	yes
A8.P4	SF15	R. pallescens	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Three	Negative	yes
A9.P4	SF15	R. pallescens	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Four	Positive	No
A10.P4	SF15	R. pallescens	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Three	Negative	yes
A11.P4	SF15	R. pallescens	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Three	Single	yes
A12.P4	SF15	R. pallescens	N3	Veraguas	Forest	Veraguas	Mammal	Yes	Three	Negative	No
B1.P4	SF15	R. pallescens	N2	Veraguas	Forest	Veraguas	Mammal	Yes	Four	Negative	No
B2.P4	Lab01	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B3.P4	Lab02	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B4.P4	Lab03	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B5.P4	Lab04	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B6.P4	Lab05	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B7.P4	Lab06	R. pallescens	N5	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B8.P4	Lab07	R. pallescens	N5	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B9.P4	Lab08	R. pallescens	N5	Univ. de Panama	Lab	NA	Mammal	Yes	NA	NA	NA
B10.P4	Lab09	R. pallescens	N5	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B11.P4	Lab10	R. pallescens	N5	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
B12.P4	Lab11	R. pallescens	N4	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C1.P4	Lab12	R. pallescens	N4	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C2.P4	Lab13	R. pallescens	N4	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C3.P4	Lab14	R. pallescens	N4	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C4.P4	Lab15	R. pallescens	N4	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C5.P4	Lab16	R. pallescens	N4	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C6.P4	Lab17	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C7.P4	Lab18	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C8.P4	Lab19	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C9.P4	Lab20	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	Yes	NA	NA	NA
C10.P4	Lab21	R. pallescens	Adult	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C11.P4	Lab22	R. pallescens	N3	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
C12.P4	Lab23	R. pallescens	N3	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D1.P4	Lab24	R. pallescens	N3	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D2.P4	Lab25	R. pallescens	N3	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D3.P4	Lab26	R. pallescens	N3	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D4.P4	Lab28	R. pallescens	N2	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D5.P4	Lab29	R. pallescens	N2	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D6.P4	Lab30	R. pallescens	N2	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D7.P4	Lab31	R. pallescens	N2	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D8.P4	Lab32	R. pallescens	N2	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D9.P4	Lab36	R. pallescens	N1	Univ. de Panama	Lab	NA	Mammal	Yes	NA	NA	NA
D10.P4	Lab37	R. pallescens	N1	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D11.P4	Lab40	R. pallescens	N1	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
D12.P4	Lab41	R. pallescens	N1	Univ. de Panama	Lab	NA	Mammal	Yes	NA	NA	NA
E1.P4	Lab42	R. pallescens	N1	Univ. de Panama	Lab	NA	Mammal	No	NA	NA	NA
F6.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
F7.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
F8.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
F9.P5	Neg	NA	NA	NA	NA	NA	Mammal	Yes	NA	NA	NA
F10.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
F11.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
F12.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
G1.P5	Neg	NA	NA	NA	NA	NA	Mammal_Bird	No	NA	NA	NA
G2.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
G3.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
G4.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
G5.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
G6.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	NA	NA	NA
G7.P5	Neg	NA	NA	NA	NA	NA	Mammal	No	Five	NA	NA
Unassigned.P1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unassigned.P2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unassigned.P3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Unassigned.P5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
