id,PalmID,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,Habitat,Region,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,TypeBM_Updated,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,faith_pd
C4.P1,CA1P17,N5,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,7.466715187
C4.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Positive,,,,,Negative,Positive,Yes,Coinfection,7.244352681
C4.P3,SF10,Adult,N4_Adult,N3_Adult,Female,Veraguas,Forest,Veraguas,Mix,No,Yes,Yes,No,Three,Mammal,Heteromys,Didelphis,Thraupis,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,12.11452344
C5.P1,CA1P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mus,Mus,NA,NA,NA,NA,Positive,Positive,Negative,Negative,May-25-2022,,,Negative,Positive,No,Tcruzi,8.552407133
C5.P2,HN9,N2,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mix,No,Yes,Yes,No,Two,Mammal,Philander,Thraupis,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,5.958162259
C5.P3,SF10,N5,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Coinfection,13.09559206
C6.P1,CA1P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Four,Mus,Mus,Human,Metachirus,Philander,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.489354871
C6.P2,HN9,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mix,No,Yes,Yes,No,Two,Mammal,Philander,Thraupis,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.398544304
C6.P3,SF10,N5,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Human,Didelphis,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,8.67397513
C7.P1,CA1P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Mus,Mus,Human,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.567256052
C7.P2,HN9,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mix,Yes,Yes,Yes,No,Four,Mammal,Human,Philander,Bos,Thraupis,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,4.8640601
C7.P3,SF10,N5,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Human,Didelphis,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,7.048873735
C8.P1,CA3P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Mus,Mus,Philander,Human,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.330086605
C8.P2,CHOR1P4,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mix,No,Yes,Yes,No,Two,Mammal,Philander,Thraupis,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Tcruzi,5.804962681
C8.P3,SF10,N1,N1_N3,N1_N2,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Didelphis,Human,NA,NA,Negative,Negative,Positive,,,,,NA,Negative,No,Trangeli,10.13244595
C9.P1,CA3P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Mammal,Human,Philander,Mus,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.017902814
C9.P2,CHOR1P6,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Bird,No,No,Yes,No,One,Bird,Thraupis,NA,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,6.565971202
C9.P3,SF10,N4,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Didelphis,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,9.547447435
D1.P1,CA3P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,Two,Mammal,Philander,Bos,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.293700215
D1.P2,CAM1P17,N3,N1_N3,N3_Adult,NA,Campana,Peridomestic,Capira,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,5.054806956
D1.P3,SF12,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Peridomestic,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Philander,NA,NA,NA,Positive,Positive,NA,,,,,NA,NA,NA,Tcruzi,9.694957633
D10.P1,CA7P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,Three,Mus,Mus,Other,Philander,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,9.807504395
D10.P2,CHOR1P3,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.293826994
D11.P1,CA7P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,Two,Mus,Mus,Philander,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,5.617641428
D11.P2,CHOR1P3,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,6.55007415
D12.P1,CA7P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Other,No,No,No,No,Two,Other,Other,Philander,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,5.598229954
D12.P2,CHOR1P3,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,6.906766317
D12.P3,SF12,N2,N1_N3,N1_N2,NA,Veraguas,Peridomestic,Veraguas,Mix,No,Yes,Yes,No,Three,Mammal,Heteromys,Didelphis,Piranga,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,9.78132775
D2.P1,CA3P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mix,No,Yes,No,Yes,Two,Mus,Mus,Mabuya,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.34083477
D2.P2,CAM1P17,N2,N1_N3,N1_N2,NA,Campana,Peridomestic,Capira,Mammal,No,Yes,No,No,Two,Mammal,Philander,Heteromys,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,7.582967904
D2.P3,SF12,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Peridomestic,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Coinfection,8.066970572
D3.P1,CA3P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,4.707271252
D3.P2,CAM1P17,N2,N1_N3,N1_N2,NA,Campana,Peridomestic,Capira,Mammal,Yes,Yes,No,No,Four,Mammal,Philander,Bos,Leopardus,Human,NA,Positive,Positive,Positive,,,,,Single,Negative,Yes,Coinfection,5.497007776
D4.P1,CA3P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.755757236
D4.P2,CAM1P17,N2,N1_N3,N1_N2,NA,Campana,Peridomestic,Capira,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Negative,,,,,Single,Positive,No,Negative,8.112740555
D4.P3,SF12,Adult,N4_Adult,N3_Adult,Male,Veraguas,Peridomestic,Veraguas,Mammal,No,Yes,No,No,One,Mammal,Didelphis,NA,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Coinfection,8.859112346
D5.P1,CA3P17,Adult,N4_Adult,N3_Adult,Male,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Positive,Negative,May-6-2022,Negative,May-25-2022,Single,Negative,No,Trangeli,6.493002258
D5.P2,CAM1P17,N2,N1_N3,N1_N2,NA,Campana,Peridomestic,Capira,Mammal,No,Yes,No,No,Two,Mammal,Philander,Mus,NA,NA,NA,Negative,Negative,Positive,,,,,Single,Negative,No,Trangeli,7.400762679
D5.P3,SF12,N5,N4_Adult,N3_Adult,NA,Veraguas,Peridomestic,Veraguas,Mammal,No,Yes,No,No,One,Mammal,Didelphis,NA,NA,NA,NA,Positive,Positive,NA,,,,,NA,NA,NA,Tcruzi,10.17425125
D6.P1,CA3P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,4.977822066
D6.P2,CAM2P17,Adult,N4_Adult,N3_Adult,TBD,Campana,Peridomestic,Capira,Mammal,No,Yes,No,No,Two,Mammal,Philander,Coendou,NA,NA,NA,Positive,Positive,Positive,,,,,Negative,Positive,Yes,Coinfection,5.847606808
D6.P3,SF12,N5,N4_Adult,N3_Adult,NA,Veraguas,Peridomestic,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Negative,Yes,Coinfection,7.553808496
D7.P1,CA7P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,Two,Mus,Mus,Philander,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,5.75184039
D7.P2,CAM2P17,Adult,N4_Adult,N3_Adult,TBD,Campana,Peridomestic,Capira,Mammal,No,Yes,No,No,Two,Mammal,Philander,Tamandua,NA,NA,NA,Positive,Positive,Positive,,,,,Negative,Positive,Yes,Coinfection,6.208957015
D7.P3,SF12,N4,N4_Adult,N3_Adult,NA,Veraguas,Peridomestic,Veraguas,Mammal,No,Yes,No,No,One,Mammal,Didelphis,NA,NA,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Coinfection,9.679077322
D8.P1,CA7P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Other,No,No,No,No,Two,Other,Other,Philander,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,5.764680245
D8.P2,CHOR1P3,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mammal,Philander,Other,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,7.5963488
D8.P3,SF12,N3,N1_N3,N3_Adult,NA,Veraguas,Peridomestic,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Didelphis,Heteromys,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,7.951678039
D9.P1,CA7P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mix,Yes,Yes,Yes,No,Four,Mammal,Philander,Other,Thraupis,Human,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,6.716704989
D9.P2,CHOR1P3,N4,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.476418889
D9.P3,SF12,N3,N1_N3,N3_Adult,NA,Veraguas,Peridomestic,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Heteromys,Human,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,7.073839456
E1.P1,CA7P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Other,Yes,No,No,No,Three,Other,Other,Human,Mus,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,16.72425157
E1.P2,CHOR1P3,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,5.431052285
E1.P3,SF6,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Human,Didelphis,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,14.18086521
E10.P1,CA8P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Other,No,No,No,No,One,Other,Other,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,41.55823024
E10.P2,CHOR1P3,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,10.49587875
E10.P3,SF7,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mix,Yes,Yes,Yes,No,Four,Mix,Heteromys,Piranga,Human,Thraupis,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,6.398606925
E11.P1,CA9P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mus,Mus,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,14.68401821
E11.P2,CHOR1P3,N5,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,6.554685853
E11.P3,SF8,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Pasture,Veraguas,Mix,Yes,Yes,Yes,No,Four,Mammal,Heteromys,Thraupis,Human,Bos,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,10.52283296
E12.P1,CA9P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mix,No,Yes,Yes,No,Three,Other,Other,Mus,Piranga,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,14.93899348
E12.P2,CHOR1P3,N4,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Three,Mammal,Philander,Mus,Human,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,5.934969608
E12.P3,SF8,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Heteromys,Human,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,10.44311644
E2.P1,CA7P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Mus,Mus,Human,Other,NA,NA,Positive,Positive,Positive,Negative,May-6-2022,Negative,May-27-2022,Negative,Negative,Yes,Coinfection,15.43197582
E2.P2,CHOR1P3,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mammal,Philander,Other,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,7.296236259
E2.P3,SF6,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mix,No,Yes,No,Yes,Two,Mammal,Heteromys,Other,Lepidodactylus,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,6.578483769
E3.P1,CA7P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Other,No,No,No,No,One,Other,Other,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,13.70476137
E3.P2,CHOR1P3,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Three,Mammal,Philander,Human,Mus,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,Yes,Tcruzi,8.463436508
E3.P3,SF6,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Heteromys,Human,NA,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,5.918142216
E4.P1,CA7P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Other,Human,Other,Mus,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,16.86591257
E4.P2,CHOR1P3,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mammal,Philander,Mus,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,7.252366433
E4.P3,SF6,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Human,Didelphis,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,7.660122575
E5.P1,CA7P17,N5,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Three,Mammal,Bos,Mus,Human,NA,NA,Positive,Positive,Negative,Negative,May-27-2022,,,Negative,Positive,No,Tcruzi,15.55049178
E5.P2,CHOR1P3,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mammal,Philander,Other,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,7.488317995
E5.P3,SF6,N3,N1_N3,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mix,Yes,Yes,Yes,No,Three,Mammal,Heteromys,Piranga,Human,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,8.60249938
E6.P1,CA7P17,N5,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Other,Human,Other,NA,NA,NA,Positive,Positive,Negative,Negative,May-27-2022,,,Negative,Positive,No,Tcruzi,15.05361487
E6.P2,CHOR1P3,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Two,Mammal,Philander,Human,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,6.478905227
E6.P3,SF6,N3,N1_N3,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mix,No,Yes,Yes,No,Two,Mammal,Heteromys,Piranga,NA,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,6.749033772
E7.P1,CA7P17,N5,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,One,Mus,Mus,NA,NA,NA,NA,Positive,Positive,Negative,Negative,May-27-2022,,,Negative,Positive,No,Tcruzi,17.12840276
E7.P2,CHOR1P3,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mammal,Philander,Procyon,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,6.764668594
E7.P3,SF7,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Pasture,Veraguas,Mix,No,Yes,Yes,No,Three,Mammal,Heteromys,Piranga,Other,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,9.605587317
E8.P1,CA8P17,N4,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Other,No,No,No,No,One,Other,Other,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,14.79758066
E8.P2,CHOR1P3,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Two,Mammal,Philander,Human,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,6.987767713
E8.P3,SF7,N5,N4_Adult,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Heteromys,Human,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Coinfection,9.911796359
E9.P1,CA8P17,N1,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Four,Mammal,Human,Mus,Potos,Other,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,11.62612057
E9.P2,CHOR1P3,N1,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Positive,No,Negative,7.3592532
E9.P3,SF7,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Heteromys,Human,NA,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,5.15079214
F1.P1,CA9P17,N3,N1_N3,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,Two,Mammal,Human,Potos,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,6.321962929
F1.P2,CHOR1P3,N4,N4_Adult,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.290756108
F1.P3,SF8,Adult,N4_Adult,N3_Adult,Male,Veraguas,Pasture,Veraguas,Mix,Yes,Yes,Yes,No,Four,Mammal,Heteromys,Thraupis,Other,Human,NA,Positive,Positive,Negative,,,,,NA,Negative,No,Tcruzi,10.26429525
F10.P1,LP1,N3,N1_N3,N3_Adult,NA,Las Pavas,Peridomestic,La Chorrera,Other,Yes,No,No,No,Two,Other,Other,Human,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,14.9869123
F10.P2,CHOR1P1,N2,N1_N3,N1_N2,NA,La Chorrera,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Four,Mammal,Philander,Other,Human,Bos,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,4.697060729
F10.P3,SF8,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mix,Yes,Yes,Yes,No,Three,Mammal,Heteromys,Thraupis,Human,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,7.132644481
F11.P1,LP2_Capira0217,Adult,N4_Adult,N3_Adult,TBD,Las Pavas,Peridomestic,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Positive,Positive,May-6-2022,Positive,May-27-2022,Single,Positive,Yes,Coinfection,5.640223338
F11.P2,CHOR1P1,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mammal,Other,Philander,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,7.431030722
F11.P3,SF8,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Heteromys,Human,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,6.500519441
F12.P1,LP2_Capira0217,N3,N1_N3,N3_Adult,NA,Las Pavas,Peridomestic,La Chorrera,Bird,No,No,Yes,No,One,Bird,Piranga,NA,NA,NA,NA,Negative,Negative,Positive,Negative,May-6-2022,Negative,May-27-2022,Single,Negative,No,Trangeli,6.579961945
F12.P2,CHOR1P1,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,Two,Mammal,Philander,Other,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,6.114637718
F12.P3,SF8,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Heteromys,Human,NA,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,5.553505212
F2.P1,CA9P17,N5,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Mammal,No,Yes,No,No,Two,Mus,Mus,Philander,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,8.456192874
F2.P2,CHOR1P3,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Positive,No,Negative,5.535802327
F2.P3,SF8,Adult,N4_Adult,N3_Adult,Male,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Other,NA,NA,NA,Positive,Positive,Negative,,,,,NA,Negative,No,Tcruzi,5.699529714
F3.P1,CA11P17,N4,N4_Adult,N3_Adult,NA,Capira,Pasture,Capira,Mammal,Yes,Yes,No,No,One,Human,Human,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,4.760793533
F3.P2,CHOR1P3,N3,N1_N3,N3_Adult,NA,La Chorrera,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mammal,Philander,NA,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,5.924407059
F3.P3,SF8,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mix,Yes,Yes,Yes,No,Four,Mammal,Heteromys,Human,Bos,Thraupis,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,3.982091015
F4.P1,CA11P17,N2,N1_N3,N1_N2,NA,Capira,Pasture,Capira,Other,No,No,No,No,One,Other,Other,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-27-2022,,,Negative,Negative,No,Negative,8.598021605
