id,PalmID,ESTADIO,Age_Group,New_Age_Group,SEXO,PROCEDENCIA,Habitat,Region,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,TypeBM_Updated,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,PCR_RESULTS_121_122,SingleInf_Tcruzi,PCR_RESULTS_duplex_Trangeli,R1_R2_Results_1stRun,R1_R2_GelDate_1stRun,R1_R2_Results_2ndRun,R1_R2_GelDate_2ndRun,SingleInf_Trangeli,PCR_RESULTS_duplex_Tcruzi,Coinfection,Infection_Type,faith_pd
A3.P3,SF3,N5,N4_Adult,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mix,No,Yes,Yes,No,Three,Mammal,Heteromys,Metachirus,Piranga,NA,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,10.09781058
A3.P4,SF15,Adult,N4_Adult,N3_Adult,Female,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Human,Bos,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,5.753437232
A4.P1,CC3,N5,N4_Adult,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Mix,Yes,Yes,Yes,No,Three,Mammal,Heteromys,Piranga,Human,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,8.964276995
A4.P2,HN3,N1,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,NA,Negative,Negative,,,,,Negative,Negative,NA,Negative,6.760773449
A4.P3,SF3,N3,N1_N3,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Four,Mammal,Heteromys,Human,Didelphis,Other,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,6.749252279
A4.P4,SF15,Adult,N4_Adult,N3_Adult,TBD,Veraguas,Forest,Veraguas,Mammal,No,Yes,No,No,Three,Mammal,Didelphis,Marmosa,Heteromys,NA,NA,Positive,Positive,Positive,,,,,NA,Negative,Yes,Tcruzi,6.002346083
A5.P1,CC3,N4,N4_Adult,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Mammal,No,Yes,No,No,One,Mus,Mus,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,9.464944938
A5.P2,HN3,N1,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Negative,No,Tcruzi,8.317444166
A5.P3,SF3,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Heteromys,Didelphis,Human,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,7.070727354
A5.P4,SF15,N4,N4_Adult,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Heteromys,Human,NA,NA,Positive,Positive,Positive,,,,,NA,Positive,Yes,Tcruzi,9.736982623
A6.P1,CC3,N5,N4_Adult,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Three,Other,Human,Other,Potos,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,9.717275167
A6.P2,HN3,N1,N1_N3,N1_N2,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Three,Mammal,Philander,Human,Mus,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,5.412913089
A6.P3,SF3,N1,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,Yes,Yes,No,No,Four,Mammal,Heteromys,Human,Metachirus,Didelphis,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,7.315964773
A6.P4,SF15,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Human,Heteromys,NA,NA,Positive,Negative,Positive,,,,,NA,Positive,Yes,Tcruzi,11.23928578
A7.P1,CC3,N4,N4_Adult,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,6.175002408
A7.P2,HN3,N3,N1_N3,N3_Adult,NA,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Two,Mammal,Philander,Human,NA,NA,NA,Negative,Negative,Negative,,,,,Negative,Negative,No,Negative,5.962479124
A7.P3,SF4,N4,N4_Adult,N3_Adult,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Didelphis,NA,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,7.45410763
A7.P4,SF15,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Two,Mammal,Didelphis,Human,NA,NA,NA,Positive,Negative,Positive,,,,,NA,Positive,Yes,Tcruzi,15.98931185
A8.P1,CC3,N3,N1_N3,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Other,No,No,No,No,Three,Other,Other,Piranga,Thraupis,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,8.552682303
A8.P2,HN3,Adult,N4_Adult,N3_Adult,TBD,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Three,Mammal,Human,Mus,Philander,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.946308286
A8.P3,SF4,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mix,Yes,Yes,Yes,No,Three,Mammal,Heteromys,Human,Thraupis,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,5.928364559
A8.P4,SF15,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Three,Mammal,Didelphis,Heteromys,Human,NA,NA,Positive,Negative,Positive,,,,,NA,Positive,Yes,Tcruzi,7.756953467
A9.P1,CC3,N3,N1_N3,N3_Adult,NA,Cerro Cama,Pasture,La Chorrera,Bird,No,No,Yes,No,One,Bird,Thraupis,NA,NA,NA,NA,Negative,Negative,Negative,Negative,May-25-2022,,,Negative,Negative,No,Negative,5.362441367
A9.P2,HN3,Adult,N4_Adult,N3_Adult,TBD,La Chorrera,Peridomestic,La Chorrera,Mammal,Yes,Yes,No,No,Two,Human,Human,Mus,NA,NA,NA,Positive,Positive,Negative,,,,,Negative,Positive,No,Tcruzi,7.664385365
A9.P3,SF4,N2,N1_N3,N1_N2,NA,Veraguas,Pasture,Veraguas,Mammal,No,Yes,No,No,Two,Mammal,Heteromys,Metachirus,NA,NA,NA,Negative,Negative,Negative,,,,,NA,Negative,No,Negative,6.277634457
A9.P4,SF15,N3,N1_N3,N3_Adult,NA,Veraguas,Forest,Veraguas,Mammal,Yes,Yes,No,No,Four,Mammal,Heteromys,Human,Mus,Bos,NA,Positive,Positive,Negative,,,,,NA,Positive,No,Tcruzi,7.699287448
