Observed,Chao1,se.chao1,Shannon,Simpson,InvSimpson,Sample,Region,Age_Group,PalmID,ESPECIE,PROCEDENCIA,HABITAT,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,SingleInf_Tcruzi
27,27,-0,1.3925417703200942,0.4748012309371358,1.9040410200967244,371,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,No,Yes,Yes,No,Three,Heteromys,Other,Piranga,NA,NA,Negative
32,32,-0,1.4133406680395277,0.49734244334223365,1.9894259755073145,70,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
20,20,-0,1.113817080044798,0.41996035283518096,1.7240200818821763,167,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
31,31,-0,1.3766500773098667,0.4715912031959115,1.8924741716038416,372,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,No,Yes,Yes,No,Two,Heteromys,Piranga,NA,NA,NA,Negative
27,27,-0,1.4451009084642772,0.5027585489360212,2.0110954102081338,71,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Four,Mus,Human,Other,Philander,NA,Negative
26,26,-0,1.2642219889963529,0.44510269029236393,1.8021352464780904,168,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,Two,Other,Philander,NA,NA,NA,Negative
33,33,-0,1.3533947325344708,0.44605706491413,1.8052401008507926,373,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,Yes,Yes,No,Yes,Three,Heteromys,Human,Lepidodactylus,NA,NA,Negative
33,33,-0,1.3469422963085875,0.4377259835580841,1.7784922844701685,72,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Other,Yes,No,No,No,Three,Other,Human,Philander,NA,NA,Negative
30,30,0.24579802006254375,1.0547520954674863,0.35090665776335683,1.5406104714526945,169,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
24,24,-0,0.887765661566034,0.2978062185294442,1.424108310822362,375,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Positive
31,31,-0,1.3386259642021006,0.44425849999086253,1.799397741546309,73,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Other,NA,NA,NA,Negative
35,35,-0,1.4485920252018076,0.5013292046444686,2.0053309905326255,170,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,Yes,Yes,No,No,Two,Philander,Human,NA,NA,NA,Negative
44,44,-0,1.5036605439569222,0.468418133711093,1.881177789192144,376,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Negative
43,43,-0,1.7972409018699953,0.5779263205653516,2.36925458450634,77,La Chorrera,N1_N3,LP3_Capira0317,R. pallescens,Las Pavas,Peridomestic,Mammal,Yes,Yes,No,No,Three,Human,Philander,Mus,NA,NA,Negative
14,14,-0,0.9025598356631466,0.3478784568747989,1.5334564707180813,174,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Four,Mus,Thraupis,Other,Philander,NA,Negative
50,50,-0,2.1752332409457686,0.7196020205475144,3.566359507841795,381,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Three,Didelphis,Heteromys,Human,NA,NA,Negative
49,49,-0,1.8050962790596157,0.6307521249860771,2.708207867038623,86,La Chorrera,N1_N3,HN2,R. pallescens,La Chorrera,Peridomestic,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
43,43,-0,1.6831071241860243,0.5361395675250399,2.1558208676356148,184,La Chorrera,N4_Adult,CHOR1P5,R. pallescens,La Chorrera,Pasture,Bird,No,No,Yes,No,One,Thraupis,NA,NA,NA,NA,Negative
