Observed,Chao1,se.chao1,Shannon,Simpson,InvSimpson,Sample,Region,Age_Group,PalmID,ESPECIE,PROCEDENCIA,HABITAT,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,SingleInf_Tcruzi
39,39,-0,1.9451631514276482,0.6378609253023919,2.7613700643461794,2,La Chorrera,N4_Adult,CC2,R. pallescens,Cerro Cama,Pasture,Bird,No,No,Yes,No,One,Piranga,NA,NA,NA,NA,Positive
40,40,-0,1.7169801558830489,0.5476038406697843,2.210452010645992,102,La Chorrera,N4_Adult,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Three,Philander,Human,Mus,NA,NA,Positive
43,43,-0,1.6709421748597757,0.5305461617764489,2.1301348899054178,219,Veraguas,N4_Adult,SF3,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Positive
48,48,-0,2.5489797009904467,0.7877589332562693,4.71162351067263,412,Veraguas,N4_Adult,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Five,Heteromys,Mus,Human,Metachirus,Didelphis,Positive
37,37,-0,1.9110719023391654,0.6131673773360489,2.585097381687788,3,La Chorrera,N1_N3,CC2,R. pallescens,Cerro Cama,Pasture,Mix,Yes,Yes,Yes,No,Three,Human,Piranga,Other,NA,NA,Negative
32,32,-0,1.3606118209416818,0.4506831338937004,1.8204429204736774,103,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Four,Human,Procyon,Bos,Mus,NA,Negative
46,46,-0,2.1797854068919444,0.6749560928528817,3.0765074441078193,220,Veraguas,N4_Adult,SF3,R. pallescens,Veraguas,Pasture,Mix,No,Yes,Yes,No,Three,Heteromys,Metachirus,Piranga,NA,NA,Positive
33,33,-0,1.981013037085474,0.7427540057023252,3.8873297239483544,413,Veraguas,N4_Adult,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Didelphis,Human,Bos,NA,NA,Negative
39,39,0.12338702919820614,1.9196360305372437,0.6413451903746494,2.788196263266611,4,La Chorrera,N4_Adult,CC3,R. pallescens,Cerro Cama,Pasture,Mix,Yes,Yes,Yes,No,Three,Heteromys,Piranga,Human,NA,NA,Negative
31,31,-0,1.4421771644366639,0.5087752675386445,2.035728117738188,104,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Negative
45,45,-0,2.1444478520994865,0.6700405996418959,3.030675891987628,221,Veraguas,N1_N3,SF3,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Didelphis,Other,NA,Negative
33,33,-0,2.026502878902952,0.7758866491474066,4.46202779172104,414,Veraguas,N4_Adult,SF15,R. pallescens,Veraguas,Forest,Mammal,No,Yes,No,No,Three,Didelphis,Marmosa,Heteromys,NA,NA,Positive
47,47,-0,2.256477507693654,0.7159692067717824,3.5207450172365795,5,La Chorrera,N4_Adult,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Negative
33,33,-0,1.4370358409058002,0.49159147234339773,1.9669221612180285,105,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Positive
41,41,-0,1.849461633757853,0.598046400856064,2.4878493491033744,222,Veraguas,N1_N3,SF3,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Three,Heteromys,Didelphis,Human,NA,NA,Negative
42,42,-0,2.399991729887006,0.8090110825752316,5.2359059022045376,415,Veraguas,N4_Adult,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Didelphis,Heteromys,Human,NA,NA,Positive
36,36,-0,1.69611459863266,0.5690851403089949,2.3206440379360957,6,La Chorrera,N4_Adult,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,Yes,Yes,No,No,Three,Human,Other,Potos,NA,NA,Negative
28,28,-0,1.4819868690508773,0.5164141107563389,2.067884986396154,106,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Three,Philander,Human,Mus,NA,NA,Negative
37,37,-0,1.7257384901438264,0.5727778051380508,2.340702360567048,223,Veraguas,N1_N3,SF3,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Metachirus,Didelphis,NA,Negative
52,52,-0,2.7119476907225466,0.8746967896834237,7.980641497320923,416,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Didelphis,Human,Heteromys,NA,NA,Negative
35,35,-0,1.6632873996356075,0.5440113437272052,2.1930370114333524,7,La Chorrera,N4_Adult,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Negative
33,33,-0,1.2952649281967563,0.4314675335576871,1.7589145018536363,107,La Chorrera,N1_N3,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Philander,Human,NA,NA,NA,Negative
35,35,-0,1.6537394587522234,0.5535839072787658,2.240062614912167,224,Veraguas,N4_Adult,SF4,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Heteromys,Didelphis,NA,NA,NA,Negative
53,53,-0,2.738226479459178,0.8759612891718762,8.061999301054213,417,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Two,Didelphis,Human,NA,NA,NA,Negative
39,39,-0,1.8170121215144406,0.587689700562253,2.425357798152665,8,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Other,No,No,No,No,Three,Other,Piranga,Thraupis,NA,NA,Negative
54,54,-0,1.9884634994734987,0.6300513949351912,2.7030781743988923,108,La Chorrera,N4_Adult,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Three,Human,Mus,Philander,NA,NA,Positive
39,39,-0,1.4773174791554675,0.48103089754566597,1.9268969872594557,225,Veraguas,N1_N3,SF4,R. pallescens,Veraguas,Pasture,Mix,Yes,Yes,Yes,No,Three,Heteromys,Human,Thraupis,NA,NA,Negative
58,58,-0,2.561768731334319,0.7925328233506945,4.82003956553745,418,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Didelphis,Heteromys,Human,NA,NA,Negative
36,36,-0,1.7906722901913288,0.5825813412267344,2.3956763287459615,9,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Bird,No,No,Yes,No,One,Thraupis,NA,NA,NA,NA,Negative
35,35,-0,1.6043781686240544,0.5354633149928409,2.15268251631104,109,La Chorrera,N4_Adult,HN3,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Positive
30,30,-0,1.3115507080705344,0.44599197702051774,1.8050280113669672,226,Veraguas,N1_N3,SF4,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Heteromys,Metachirus,NA,NA,NA,Negative
41,41,-0,1.9718881216801953,0.6335124950101607,2.728605986246993,419,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Mus,Bos,NA,Positive
66,66,-0,2.3305867528616204,0.683601995296244,3.160576189272437,13,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,Yes,Yes,No,No,One,Human,NA,NA,NA,NA,Negative
25,25,-0,1.217221421222182,0.42363734359604777,1.7350187228284535,113,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Two,Turdus,Philander,NA,NA,NA,Negative
102,102,-0,3.2896834818170104,0.9214477214083768,12.730375463693305,236,Veraguas,N4_Adult,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,One,Didelphis,NA,NA,NA,NA,Positive
38,38,-0,2.0309251482390884,0.7562800377947834,4.103069731965501,423,Veraguas,N1_N3,SF15,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Metachirus,Didelphis,NA,Negative
55,55,-0,1.9172602095146682,0.5925552801505145,2.4543206753775357,24,Capira,N4_Adult,CA1P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,Two,Mus,Other,NA,NA,NA,Negative
44,44,0.12357138165302015,1.8115362102784198,0.5865382642941113,2.418603497353231,122,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Two,Philander,Turdus,NA,NA,NA,Negative
34,34,-0,1.7349355593247924,0.5723263262946894,2.3382313700446566,25,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Positive
47,47,0.4946522526622413,2.079958460092214,0.6733444909851656,3.0613290527868817,123,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
41,41,-0,1.6620047892752923,0.5449685783646978,2.197650431273905,26,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mix,Yes,Yes,Yes,No,Four,Piranga,Metachirus,Human,Mus,NA,Negative
30,30,-0,1.4075961516343258,0.46832337865834495,1.8808425269415798,124,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
55,55,-0,1.8642285410933122,0.5731181882665567,2.3425687684825216,14,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Mix,Yes,Yes,Yes,No,Four,Human,Piranga,Metachirus,NA,NA,Negative
37,37,-0,1.4477571495290726,0.4677662104391733,1.8788735694987557,114,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Philander,Human,NA,NA,NA,Negative
60,60,-0,2.267765043127758,0.7030108280733389,3.367126126224365,237,Veraguas,N4_Adult,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
39,39,-0,1.5506300271962743,0.49613974914826076,1.9846772955587832,15,La Chorrera,N1_N3,CC3,R. pallescens,Cerro Cama,Pasture,Mammal,Yes,Yes,No,No,Two,Canis,Human,NA,NA,NA,Negative
33,33,-0,1.291316299888133,0.4306930906124653,1.756521804865865,115,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
61,61,-0,2.5082661196211107,0.8208758954607606,5.582721558174976,238,Veraguas,N4_Adult,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Heteromys,Didelphis,NA,NA,NA,Positive
45,45,-0,1.6905418376528958,0.5308335744598764,2.131439816582696,18,Capira,N4_Adult,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,One,Human,NA,NA,NA,NA,Negative
39,39,0.24677405839641228,1.4348335719800256,0.4942974996500108,1.9774472131498555,116,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Philander,Human,NA,NA,NA,Positive
77,77,-0,2.9498059212055345,0.9116940292571971,11.324262579169956,239,Veraguas,N4_Adult,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,One,Didelphis,NA,NA,NA,NA,Positive
45,45,-0,1.6945970751795878,0.5575962422278589,2.2603786302263895,19,Capira,N4_Adult,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Three,Mus,Human,Metachirus,NA,NA,Positive
42,42,-0,2.297216167323787,0.8010928068875234,5.027470270693163,117,La Chorrera,N4_Adult,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
61,61,-0,2.6950384404079295,0.8441437233712578,6.41616764900686,240,Veraguas,N4_Adult,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,One,Didelphis,NA,NA,NA,NA,Positive
42,42,-0,1.6679557257114832,0.570401162383038,2.3277530394335417,20,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,One,Metachirus,NA,NA,NA,NA,Negative
43,43,-0,2.012518212251458,0.6798695755437,3.123726842577897,118,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
59,59,0.1239361508661836,2.365159793717039,0.8007850161008351,5.019702737351134,241,Veraguas,N1_N3,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,One,Didelphis,NA,NA,NA,NA,Positive
36,36,-0,1.5639742601861804,0.5216344166616149,2.090451392889238,21,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Three,Metachirus,Human,Mus,NA,NA,Positive
44,44,-0,1.51690959318533,0.4867613304480085,1.9484112545005714,119,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Two,Philander,Turdus,NA,NA,NA,Positive
64,64,0.24803918541230538,2.426336946050661,0.8288241259165396,5.841944756259454,242,Veraguas,N1_N3,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
44,44,-0,1.750368229659561,0.5692417955233566,2.3214879939778883,22,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Other,Yes,No,No,No,Three,Other,Human,Metachirus,NA,NA,Negative
43,43,-0,2.135654851540239,0.716895728235702,3.5322674354859704,120,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
61,61,-0,2.095255576339194,0.6305092564349766,2.7064277452569487,243,Veraguas,N1_N3,SF9,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
46,46,-0,1.9075035223403456,0.6159217040930305,2.603635796806955,23,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,One,Human,NA,NA,NA,NA,Negative
41,41,-0,1.4675229149190958,0.48409605764488484,1.9383453350539899,121,La Chorrera,N4_Adult,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
67,67.5,1.295826634495011,2.259731437297032,0.665271263272672,2.9874937233566716,244,Veraguas,N1_N3,SF9,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Three,Heteromys,Didelphis,Human,NA,NA,Positive
48,48,-0,1.8371393794607296,0.5840392028379209,2.4040727078671074,27,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Negative
33,33,-0,1.5551062607269763,0.505915250460877,2.023944274606309,125,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,Yes,Yes,Yes,No,Four,Philander,Thraupis,Other,Human,NA,Negative
56,56,-0,1.8293007353835675,0.5670884296068073,2.3099405707538563,36,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Three,Human,Mus,Other,NA,NA,Negative
37,37,-0,1.572598600290392,0.5187651591999879,2.0779875337737077,134,La Chorrera,N1_N3,CHOR1P6,R. pallescens,La Chorrera,Pasture,Bird,No,No,Yes,No,One,Thraupis,NA,NA,NA,NA,Negative
48,48,0.16492141787552664,2.0911193710135914,0.6822336028570621,3.146965849728219,266,Veraguas,N1_N3,SF10,R. pallescens,Veraguas,Forest,Mammal,No,Yes,No,No,Two,Heteromys,Didelphis,NA,NA,NA,Positive
35,35,-0,1.3903357461299688,0.47701339297059653,1.912094853977356,37,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,Two,Philander,Mus,NA,NA,NA,Negative
30,30,0.1638653467083625,1.0484315226333656,0.3459947247818842,1.52903965440721,135,La Chorrera,N1_N3,CHOR1P6,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Two,Philander,Thraupis,NA,NA,NA,Negative
39,39,-0,1.5788010305189126,0.5146686226199602,2.0604478642990105,267,Veraguas,N1_N3,SF10,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Heteromys,Human,Other,NA,NA,Positive
40,40,-0,1.6989968228262424,0.5718262314901068,2.335500382193297,38,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Negative
31,31,-0,1.6297360479402936,0.5987767129316142,2.4923777662724667,136,Capira,N4_Adult,CAM1P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
41,41,-0,1.764989686250697,0.578732032,2.373785988874426,268,Veraguas,N1_N3,SF10,R. pallescens,Veraguas,Forest,Mix,No,Yes,Yes,No,Four,Heteromys,Thraupis,Piranga,Didelphis,NA,Positive
38,38,-0,1.6222011222723307,0.557661204279739,2.2607105903331366,28,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Negative
43,43,-0,1.5240745448472393,0.4853499595281343,1.9430679517349942,126,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Two,Philander,Thraupis,NA,NA,NA,Positive
52,52,-0,2.1771413058153866,0.7364327122948078,3.794097547942024,259,Veraguas,N4_Adult,SF10,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Heteromys,Human,Thraupis,NA,NA,Positive
37,37,-0,1.497609111518186,0.5037121025586456,2.014959472426322,29,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Bos,NA,NA,NA,Negative
23,23,-0,1.0916550207893092,0.3689794139333703,1.5847343526989301,127,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Three,Philander,Thraupis,Mus,NA,NA,Negative
53,53,0.2476302782718243,2.434565841945692,0.8067953661130238,5.175859294270321,260,Veraguas,N4_Adult,SF10,R. pallescens,Veraguas,Forest,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
47,47,-0,1.7944468048804016,0.5657806107386205,2.302983295382158,30,Capira,N4_Adult,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Negative
38,38,-0,1.3854810852514492,0.4628271456961264,1.8615981652608034,128,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
65,65,-0,2.5345438798375364,0.8411661741321899,6.295888136776685,261,Veraguas,N4_Adult,SF10,R. pallescens,Veraguas,Forest,Mix,No,Yes,Yes,No,Three,Heteromys,Didelphis,Thraupis,NA,NA,Positive
47,47,-0,1.8086020773248217,0.5776948121353934,2.3679557550702066,31,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Positive
31,31,-0,1.4330657700089235,0.4853764772393673,1.9431680748591253,129,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Two,Philander,Thraupis,NA,NA,NA,Positive
53,53,-0,2.0610233037126195,0.7302393168987823,3.7069894267163725,262,Veraguas,N4_Adult,SF10,R. pallescens,Veraguas,Forest,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
29,29,-0,1.3239562668121216,0.4572745385539393,1.8425522129283518,32,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Four,Mus,Human,Metachirus,Philander,NA,Negative
30,30,-0,1.1876049484971958,0.4005370507055721,1.6681598106722142,130,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Two,Philander,Thraupis,NA,NA,NA,Positive
47,47,-0,2.0129824675935626,0.6642350300136465,2.9782737610794925,263,Veraguas,N4_Adult,SF10,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Heteromys,Human,Didelphis,NA,NA,Positive
42,42,-0,1.510453530933755,0.49800862988315264,1.9920661181231707,33,Capira,N1_N3,CA1P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Mus,Human,NA,NA,NA,Negative
29,29.2,0.6200220941710658,1.2168802610824114,0.4270059261478223,1.7452187476863543,131,La Chorrera,N1_N3,HN9,R. pallescens,La Chorrera,Peridomestic,Mix,Yes,Yes,Yes,No,Four,Human,Philander,Bos,Thraupis,NA,Positive
55,55,-0,2.0559951837006136,0.6464817978886233,2.828708660622085,264,Veraguas,N4_Adult,SF10,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Heteromys,Human,Didelphis,NA,NA,Positive
44,44,-0,1.7898327699779832,0.5809751316713849,2.3864932026319794,34,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Three,Mus,Philander,Human,NA,NA,Negative
23,23,-0,1.0317685411820048,0.37383313765896886,1.597018398995645,132,La Chorrera,N1_N3,CHOR1P4,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Two,Philander,Thraupis,NA,NA,NA,Negative
46,46,-0,1.6993060461991836,0.544716584047448,2.1964340561533136,264.5,Veraguas,N1_N3,SF10,R. pallescens,Veraguas,Forest,Mammal,Yes,Yes,No,No,Three,Heteromys,Didelphis,Human,NA,NA,Negative
42,42,-0,1.5642128053317024,0.5239292790733119,2.100528253561709,35,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Three,Human,Philander,Mus,NA,NA,Negative
41,41.5,1.2938105669426765,1.5318569035066203,0.4980459721130732,1.9922143153421734,133,La Chorrera,N4_Adult,CHOR1P6,R. pallescens,La Chorrera,Pasture,Bird,No,No,Yes,No,One,Thraupis,NA,NA,NA,NA,Negative
55,55,-0,1.8248384421512869,0.5656745989857825,2.3024211746880203,265,Veraguas,N4_Adult,SF10,R. pallescens,Veraguas,Forest,Mammal,No,Yes,No,No,Two,Heteromys,Didelphis,NA,NA,NA,Positive
48,48,-0,1.730490937769703,0.5432991534571288,2.189617136840863,39,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,Two,Philander,Bos,NA,NA,NA,Negative
35,35,-0,1.5182242769844692,0.4907915930835064,1.9638324631274058,137,Capira,N1_N3,CAM1P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
53,53,-0,2.2816525607542966,0.802112558183437,5.05337777284006,293,Veraguas,N4_Adult,SF12,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Didelphis,Philander,NA,NA,NA,Positive
41,41,-0,1.5256117768458493,0.497004269549041,1.98808844580739,50,Capira,N1_N3,CA7P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,Three,Mus,Other,Philander,NA,NA,Negative
38,38,-0,1.457714584999229,0.491833142975327,1.9678575770466806,146,La Chorrera,N4_Adult,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
38,38,-0,1.5087430566455597,0.4797412212231318,1.9221203769997048,51,Capira,N1_N3,CA7P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,Two,Mus,Philander,NA,NA,NA,Negative
33,33,-0,1.2803193638345896,0.42205228516118176,1.7302603234254268,147,La Chorrera,N4_Adult,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
30,30,-0,1.549690103450978,0.5260638135958079,2.1099887045703642,52,Capira,N1_N3,CA7P17,R. pallescens,Capira,Pasture,Other,No,No,No,No,Two,Other,Philander,NA,NA,NA,Negative
30,30,-0,1.5528362246613232,0.5222978932901188,2.093354804079442,148,La Chorrera,N4_Adult,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
45,45,-0,1.500789372814224,0.47420870003885807,1.9018952958596005,40,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mix,No,Yes,No,Yes,Two,Mus,Mabuya,NA,NA,NA,Negative
41,41,-0,1.5705711015726056,0.5109880024962214,2.044939602923082,138,Capira,N1_N3,CAM1P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,Two,Philander,Heteromys,NA,NA,NA,Positive
39,39,-0,1.8725986391037728,0.7542785477148412,4.069648745358641,294,Veraguas,N4_Adult,SF12,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
27,27,-0,1.1878777484486038,0.3983921576628855,1.66221237428558,41,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
45,45,-0,2.3069011535765283,0.800932374400319,5.023418534216956,139,Capira,N1_N3,CAM1P17,R. pallescens,Campana,Peridomestic,Mammal,Yes,Yes,No,No,Four,Philander,Bos,Leopardus,Human,NA,Positive
41,41,-0,1.540077205464996,0.5076052144756621,2.0308907189890872,42,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
34,34,-0,1.1917436424549375,0.40468197082754676,1.679774424755944,140,Capira,N1_N3,CAM1P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
45,45,-0,2.002738651821363,0.7585825963349293,4.142203440259615,296,Veraguas,N4_Adult,SF12,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,One,Didelphis,NA,NA,NA,NA,Positive
36,36,-0,1.4185822804152854,0.4728995666980479,1.897171652346461,43,Capira,N4_Adult,CA3P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
31,31,0.24593468841898236,1.2561269350378472,0.41870062535731034,1.720283976934734,141,Capira,N1_N3,CAM1P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,Two,Philander,Mus,NA,NA,NA,Negative
39,39,-0,2.116354365939114,0.8099375568103939,5.261428734778501,297,Veraguas,N4_Adult,SF12,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,One,Didelphis,NA,NA,NA,NA,Positive
30,30,-0,1.3811542560799717,0.47237163538408067,1.8952733913915676,44,Capira,N1_N3,CA3P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
34,34,-0,1.3525507125970748,0.44947348186698355,1.8164429270206075,142,Capira,N4_Adult,CAM2P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,Two,Philander,Coendou,NA,NA,NA,Positive
